file_number,pulse_number,time_difference,threshold
1,63,16,-150
1,86,2064,-150
1,203,1328,-477.5
1,351,16,-150
1,632,16,-150
1,844,16,-150
1,908,112,-286.5
1,1241,648,-150
1,1247,1992,-150
1,1251,16,-150
1,1557,176,-164.0
1,1634,1256,-494.0
1,2086,528,-150
1,2088,560,-238.5
1,2252,3584,-330.5
1,2453,2760,-154.0
1,2500,496,-150
1,2579,2232,-150
1,2847,24,-186.5
1,2903,2744,-150
1,2910,680,-1776.5
1,2958,2528,-150
1,2968,3240,-255.5
1,3090,2264,-450.0
1,3228,3312,-298.5
1,3566,1680,-195.5
1,3573,1632,-150
1,3613,1072,-150
1,3626,1464,-604.5
1,3792,16,-150
1,3923,16,-150
1,3982,1632,-150
1,4033,16,-150
1,4206,4312,-288.0
1,4303,24,-150
1,4680,1800,-150
1,4718,232,-150
1,5022,2960,-385.0
1,5517,1008,-150
1,5623,1432,-150
1,5832,600,-469.0
1,6179,1960,-203.5
1,6237,5240,-150
1,6441,440,-150
1,6651,5360,-274.0
1,6709,2144,-150
1,6908,8760,-150
1,7259,1288,-150
1,7316,6456,-1810.5
1,7401,2272,-170.5
1,7409,24,-150
1,7614,24,-175.5
1,7904,568,-150
1,8252,16,-150
1,8306,96,-150
1,8322,8384,-225.0
1,8596,1368,-788.5
1,8704,3408,-249.5
1,9070,232,-150
1,9072,104,-150
1,9110,2240,-150
1,9126,128,-597.0
1,9203,1616,-150
1,9231,600,-158.0
1,9245,16,-150
1,9258,16,-150
1,9319,16,-150
1,9375,1128,-150
1,9680,1912,-679.0
1,9741,3200,-288.0
1,9784,1096,-324.0
1,10024,112,-497.0
1,10080,16,-150
1,10379,112,-249.5
1,10426,800,-150
1,10469,1472,-321.5
1,10497,16,-192.0
1,10605,24,-254.5
1,10616,4120,-150
1,10802,712,-150
1,11009,16,-414.0
1,11196,5832,-200.0
1,11342,1656,-1128.5
1,11457,24,-150
1,11856,1784,-150
1,12040,1376,-150
1,12059,1680,-295.0
1,12101,152,-574.0
1,12209,320,-150
1,12407,2480,-685.0
1,12460,1592,-444.5
1,12497,16,-150
1,12599,4888,-150
1,12843,16,-165.5
1,12920,40,-150
1,12983,4280,-150
1,12996,6032,-402.5
1,13204,2688,-163.0
1,13564,16,-150
1,14042,24,-153.5
1,14151,800,-473.0
1,14182,2112,-267.5
1,14328,16,-223.0
1,14378,2408,-150
1,14469,1304,-150
1,14572,2208,-150
1,14719,656,-150
1,14774,24,-150
1,14780,1520,-150
1,14781,1784,-150
1,14882,1352,-155.5
1,14934,552,-462.0
1,15159,1848,-150
1,15376,7696,-150
1,15406,3648,-150
1,15884,1544,-150
1,15970,16,-199.0
1,15988,624,-252.5
1,16015,16,-150
1,16070,24,-189.0
1,16164,5904,-150
1,16228,24,-195.0
1,16312,3200,-204.0
1,16475,592,-150
1,16769,2664,-1295.5
1,16964,16,-150
1,17034,16,-195.5
1,17095,1544,-1198.5
1,17118,3272,-445.0
1,17266,7784,-150
1,17315,888,-150
1,17456,712,-195.0
1,17546,4808,-150
1,17577,16,-150
1,17644,1624,-150
1,17940,16,-256.5
1,17963,2952,-150
1,17977,5216,-256.5
1,18290,1392,-214.5
1,18455,1744,-150
1,18689,16,-175.5
1,18738,520,-265.5
1,18770,3280,-200.5
1,18893,16,-228.0
1,19133,1360,-476.5
1,19315,624,-559.5
1,19334,952,-150
1,19533,24,-198.5
1,19584,112,-150
1,20196,4128,-194.5
1,20457,1568,-150
1,20558,8400,-242.5
1,20600,544,-150
1,20714,16,-192.0
1,20733,24,-150
1,21143,552,-150
1,21341,6192,-235.0
1,21535,816,-280.5
1,21733,2432,-150
1,21748,1536,-150
1,21756,16,-150
1,22164,336,-398.0
1,22259,7728,-150
1,22427,2904,-360.5
1,22665,16,-150
1,22764,2104,-323.5
1,22861,5168,-150
1,22905,24,-150
1,23207,7744,-982.5
1,23436,1808,-150
1,23498,2960,-150
1,23571,1616,-150
1,23718,24,-374.5
1,23742,24,-174.5
1,23889,208,-235.5
1,23948,24,-155.0
1,23985,3192,-150
1,23994,120,-703.0
1,24092,2976,-150
1,24150,24,-150
1,24209,2368,-150
1,24222,24,-150
1,24455,2704,-150
1,24701,792,-150
1,24770,16,-150
1,24816,1368,-150
1,24866,2184,-157.0
1,24901,56,-398.0
1,24977,16,-448.5
1,25170,16,-150
1,25186,1256,-150
1,25386,336,-360.0
1,25398,1320,-229.0
1,25434,2072,-468.0
1,25460,6800,-150
1,25486,16,-150
1,25727,24,-150
1,25800,7088,-150
1,25889,16,-150
1,25896,6552,-150
1,25915,2304,-258.5
1,25928,16,-158.5
1,25954,168,-150
1,26029,944,-150
1,26248,16,-150
